date,newCases,newDeaths,totalCases,totalDeaths,newVaccines,sevenDayAverageVaccines
1/21/20,1,0,1,0,,
1/22/20,0,0,1,0,,
1/23/20,0,0,1,0,,
1/24/20,1,0,2,0,,
1/25/20,1,0,3,0,,
1/26/20,2,0,5,0,,
1/27/20,0,0,5,0,,
1/28/20,0,0,5,0,,
1/29/20,0,0,5,0,,
1/30/20,1,0,6,0,,
1/31/20,1,0,7,0,,
2/1/20,1,0,8,0,,
2/2/20,3,0,11,0,,
2/3/20,0,0,11,0,,
2/4/20,0,0,11,0,,
2/5/20,1,0,12,0,,
2/6/20,0,0,12,0,,
2/7/20,0,0,12,0,,
2/8/20,0,0,12,0,,
2/9/20,0,0,12,0,,
2/10/20,1,0,13,0,,
2/11/20,0,0,13,0,,
2/12/20,1,0,14,0,,
2/13/20,1,0,15,0,,
2/14/20,0,0,15,0,,
2/15/20,0,0,15,0,,
2/16/20,0,0,15,0,,
2/17/20,10,0,25,0,,
2/18/20,0,0,25,0,,
2/19/20,0,0,25,0,,
2/20/20,2,0,27,0,,
2/21/20,3,0,30,0,,
2/22/20,0,0,30,0,,
2/23/20,0,0,30,0,,
2/24/20,13,0,43,0,,
2/25/20,2,0,45,0,,
2/26/20,15,0,60,0,,
2/27/20,0,0,60,0,,
2/28/20,5,0,65,0,,
2/29/20,5,1,70,1,,
3/1/20,18,2,88,3,,
3/2/20,16,3,104,6,,
3/3/20,21,4,125,10,,
3/4/20,36,2,161,12,,
3/5/20,67,0,228,12,,
3/6/20,83,3,311,15,,
3/7/20,117,4,428,19,,
3/8/20,119,3,547,22,,
3/9/20,201,4,748,26,,
3/10/20,270,5,1018,31,,
3/11/20,245,6,1263,37,,
3/12/20,405,6,1668,43,,
3/13/20,556,7,2224,50,,
3/14/20,674,10,2898,60,,
3/15/20,702,8,3600,68,,
3/16/20,907,23,4507,91,,
3/17/20,1399,26,5906,117,,
3/18/20,2444,45,8350,162,,
3/19/20,4043,50,12393,212,,
3/20/20,5619,65,18012,277,,
3/21/20,6516,83,24528,360,,
3/22/20,8545,98,33073,458,,
3/23/20,10432,121,43505,579,,
3/24/20,10433,206,53938,785,,
3/25/20,14634,269,68572,1054,,
3/26/20,16998,299,85570,1353,,
3/27/20,17330,417,102900,1770,,
3/28/20,21066,530,123966,2300,,
3/29/20,18520,418,142486,2718,,
3/30/20,21469,650,163955,3368,,
3/31/20,24506,936,188461,4304,,
4/1/20,26930,1021,215391,5325,,
4/2/20,29717,1216,245108,6541,,
4/3/20,32318,1391,277426,7932,,
4/4/20,35099,1556,312525,9488,,
4/5/20,25616,1368,338141,10856,,
4/6/20,30916,1526,369057,12382,,
4/7/20,30337,2234,399394,14616,,
4/8/20,31820,2085,431214,16701,,
4/9/20,34699,2120,465913,18821,,
4/10/20,33473,2263,499386,21084,,
4/11/20,31720,2084,531106,23168,,
4/12/20,27143,1681,558249,24849,,
4/13/20,25769,1764,584018,26613,,
4/14/20,26691,2705,610709,29318,,
4/15/20,30033,2752,640742,32070,,
4/16/20,31613,2349,672355,34419,,
4/17/20,31509,2289,703864,36708,,
4/18/20,28398,1951,732262,38659,,
4/19/20,25334,1520,757596,40179,,
4/20/20,27395,1837,784991,42016,,
4/21/20,25514,2672,810505,44688,,
4/22/20,28831,2371,839336,47059,,
4/23/20,33776,2169,873112,49228,,
4/24/20,36741,2132,909853,51360,,
4/25/20,34408,1967,944261,53327,,
4/26/20,26735,1253,970996,54580,,
4/27/20,23197,1442,994193,56022,,
4/28/20,24651,2394,1018844,58416,,
4/29/20,26555,2514,1045399,60930,,
4/30/20,30357,2210,1075756,63140,,
5/1/20,33970,1762,1109726,64902,,
5/2/20,29474,1583,1139200,66485,,
5/3/20,26140,1331,1165340,67816,,
5/4/20,21962,1089,1187302,68905,,
5/5/20,23709,2234,1211011,71139,,
5/6/20,24506,2708,1235517,73847,,
5/7/20,28478,1958,1263995,75805,,
5/8/20,27648,1575,1291643,77380,,
5/9/20,24868,1454,1316511,78834,,
5/10/20,20317,932,1336828,79766,,
5/11/20,17621,982,1354449,80748,,
5/12/20,22300,1652,1376749,82400,,
5/13/20,21145,1768,1397894,84168,,
5/14/20,26962,1738,1424856,85906,,
5/15/20,26237,1593,1451093,87499,,
5/16/20,23659,1225,1474752,88724,,
5/17/20,19014,844,1493766,89568,,
5/18/20,21827,846,1515593,90414,,
5/19/20,20977,1520,1536570,91934,,
5/20/20,23070,1477,1559640,93411,,
5/21/20,25733,1311,1585373,94722,,
5/22/20,23799,1288,1609172,96010,,
5/23/20,22268,1050,1631440,97060,,
5/24/20,20031,620,1651471,97680,,
5/25/20,19100,510,1670571,98190,,
5/26/20,18896,747,1689467,98937,,
5/27/20,18744,1485,1708211,100422,,
5/28/20,22512,1200,1730723,101622,,
5/29/20,24548,1190,1755271,102812,,
5/30/20,23397,963,1778668,103775,,
5/31/20,20634,604,1799302,104379,,
6/1/20,21897,734,1821199,105113,,
6/2/20,20791,1082,1841990,106195,,
6/3/20,19987,989,1861977,107184,,
6/4/20,21616,1008,1883593,108192,,
6/5/20,28709,1112,1912302,109304,,
6/6/20,22516,728,1934818,110032,,
6/7/20,18616,390,1953434,110422,,
6/8/20,18207,722,1971641,111144,,
6/9/20,18805,1030,1990446,112174,,
6/10/20,22852,929,2013298,113103,,
6/11/20,23202,877,2036500,113980,,
6/12/20,25493,779,2061993,114759,,
6/13/20,25334,692,2087327,115451,,
6/14/20,19130,317,2106457,115768,,
6/15/20,20117,448,2126574,116216,,
6/16/20,24885,769,2151459,116985,,
6/17/20,25655,761,2177114,117746,,
6/18/20,28059,727,2205173,118473,,
6/19/20,30836,698,2236009,119171,,
6/20/20,32025,546,2268034,119717,,
6/21/20,26379,257,2294413,119974,,
6/22/20,30466,360,2324879,120334,,
6/23/20,35060,833,2359939,121167,,
6/24/20,36989,767,2396928,121934,,
6/25/20,41173,2466,2438101,124400,,
6/26/20,45528,633,2483629,125033,,
6/27/20,42299,511,2525928,125544,,
6/28/20,39508,271,2565436,125815,,
6/29/20,39496,347,2604932,126162,,
6/30/20,48389,1300,2653321,127462,,
7/1/20,49975,642,2703296,128104,,
7/2/20,55559,723,2758855,128827,,
7/3/20,57154,591,2816009,129418,,
7/4/20,50006,261,2866015,129679,,
7/5/20,44767,262,2910782,129941,,
7/6/20,47316,391,2958098,130332,,
7/7/20,54084,958,3012182,131290,,
7/8/20,59455,948,3071637,132238,,
7/9/20,59889,841,3131526,133079,,
7/10/20,68227,828,3199753,133907,,
7/11/20,60721,675,3260474,134582,,
7/12/20,57805,395,3318279,134977,,
7/13/20,61567,425,3379846,135402,,
7/14/20,65602,954,3445448,136356,,
7/15/20,68342,971,3513790,137327,,
7/16/20,75687,958,3589477,138285,,
7/17/20,70923,901,3660400,139186,,
7/18/20,62451,775,3722851,139961,,
7/19/20,62275,412,3785126,140373,,
7/20/20,59888,531,3845014,140904,,
7/21/20,65277,1127,3910291,142031,,
7/22/20,69739,1136,3980030,143167,,
7/23/20,70006,1116,4050036,144283,,
7/24/20,73525,1146,4123561,145429,,
7/25/20,66776,884,4190337,146313,,
7/26/20,54217,440,4244554,146753,,
7/27/20,59181,1696,4303735,148449,,
7/28/20,63116,1327,4366851,149776,,
7/29/20,66782,1396,4433633,151172,,
7/30/20,68948,1261,4502581,152433,,
7/31/20,69088,1429,4571669,153862,,
8/1/20,56828,1055,4628497,154917,,
8/2/20,50794,420,4679291,155337,,
8/3/20,47484,608,4726775,155945,,
8/4/20,53549,1356,4780324,157301,,
8/5/20,53723,1253,4834047,158554,,
8/6/20,57514,1071,4891561,159625,,
8/7/20,61157,1356,4952718,160981,,
8/8/20,55240,966,5007958,161947,,
8/9/20,48480,539,5056438,162486,,
8/10/20,47173,537,5103611,163023,,
8/11/20,53357,1451,5156968,164474,,
8/12/20,54278,1478,5211246,165952,,
8/13/20,54061,1213,5265307,167165,,
8/14/20,59477,1176,5324784,168341,,
8/15/20,50743,1059,5375527,169400,,
8/16/20,42137,514,5417664,169914,,
8/17/20,37523,535,5455187,170449,,
8/18/20,43233,1349,5498420,171798,,
8/19/20,43013,1295,5541433,173093,,
8/20/20,46029,1043,5587462,174136,,
8/21/20,49029,1161,5636491,175297,,
8/22/20,45026,950,5681517,176247,,
8/23/20,32333,446,5713850,176693,,
8/24/20,40404,504,5754254,177197,,
8/25/20,39183,1213,5793437,178410,,
8/26/20,45319,1193,5838756,179603,,
8/27/20,45612,1126,5884368,180729,,
8/28/20,46564,1010,5930932,181739,,
8/29/20,44609,871,5975541,182610,,
8/30/20,33429,374,6008970,182984,,
8/31/20,36487,488,6045457,183472,,
9/1/20,44049,1091,6089506,184563,,
9/2/20,32444,1076,6121950,185639,,
9/3/20,46397,1078,6168347,186717,,
9/4/20,52101,980,6220448,187697,,
9/5/20,42253,712,6262701,188409,,
9/6/20,29995,411,6292696,188820,,
9/7/20,25165,263,6317861,189083,,
9/8/20,28946,458,6346807,189541,,
9/9/20,33332,1175,6380139,190716,,
9/10/20,38061,915,6418200,191631,,
9/11/20,47567,1227,6465767,192858,,
9/12/20,39104,701,6504871,193559,,
9/13/20,33343,399,6538214,193958,,
9/14/20,36887,450,6575101,194408,,
9/15/20,39217,1281,6614318,195689,,
9/16/20,39268,997,6653586,196686,,
9/17/20,45310,849,6698896,197535,,
9/18/20,48887,949,6747783,198484,,
9/19/20,41811,670,6789594,199154,,
9/20/20,36356,213,6825950,199367,,
9/21/20,54952,430,6880902,199797,,
9/22/20,37391,941,6918293,200738,,
9/23/20,41549,1090,6959842,201828,,
9/24/20,45204,885,7005046,202713,,
9/25/20,54581,853,7059627,203566,,
9/26/20,42695,769,7102322,204335,,
9/27/20,37298,267,7139620,204602,,
9/28/20,37360,350,7176980,204952,,
9/29/20,43697,926,7220677,205878,,
9/30/20,42058,974,7262735,206852,,
10/1/20,46418,847,7309153,207699,,
10/2/20,53580,865,7362733,208564,,
10/3/20,47779,709,7410512,209273,,
10/4/20,35063,333,7445575,209606,,
10/5/20,62413,429,7507988,210035,,
10/6/20,42862,721,7550850,210756,,
10/7/20,53017,996,7603867,211752,,
10/8/20,56382,928,7660249,212680,,
10/9/20,58962,915,7719211,213595,,
10/10/20,51648,592,7770859,214187,,
10/11/20,44783,419,7815642,214606,,
10/12/20,48016,351,7863658,214957,,
10/13/20,54393,826,7918051,215783,,
10/14/20,59852,1009,7977903,216792,,
10/15/20,65354,793,8043257,217585,,
10/16/20,70464,891,8113721,218476,,
10/17/20,52761,678,8166482,219154,,
10/18/20,47882,387,8214364,219541,,
10/19/20,65440,517,8279804,220058,,
10/20/20,60594,929,8340398,220987,,
10/21/20,64237,1208,8404635,222195,,
10/22/20,75130,828,8479765,223023,,
10/23/20,85297,930,8565062,223953,,
10/24/20,78579,872,8643641,224825,,
10/25/20,59715,339,8703356,225164,,
10/26/20,74638,537,8777994,225701,,
10/27/20,74387,983,8852381,226684,,
10/28/20,81882,1018,8934263,227702,,
10/29/20,90669,1004,9024932,228706,,
10/30/20,99868,968,9124800,229674,,
10/31/20,84207,838,9209007,230512,,
11/1/20,74195,428,9283202,230940,,
11/2/20,94006,540,9377208,231480,,
11/3/20,92416,1130,9469624,232610,,
11/4/20,108078,1616,9577702,234226,,
11/5/20,121349,1108,9699051,235334,,
11/6/20,132823,1248,9831874,236582,,
11/7/20,125931,1007,9957805,237589,,
11/8/20,103413,464,10061218,238053,,
11/9/20,130449,745,10191667,238798,,
11/10/20,139750,1464,10331417,240262,,
11/11/20,142878,1431,10474295,241693,,
11/12/20,163651,1172,10637946,242865,,
11/13/20,181496,1390,10819442,244255,,
11/14/20,159033,1210,10978475,245465,,
11/15/20,135186,623,11113661,246088,,
11/16/20,166563,796,11280224,246884,,
11/17/20,161631,1607,11441855,248491,,
11/18/20,172280,1924,11614135,250415,,
11/19/20,187508,1961,11801643,252376,,
11/20/20,198859,1957,12000502,254333,,
11/21/20,171933,1425,12172435,255758,,
11/22/20,140794,843,12313229,256601,,
11/23/20,179623,1038,12492852,257639,,
11/24/20,177858,2209,12670710,259848,,
11/25/20,180590,2313,12851300,262161,,
11/26/20,102994,1178,12954294,263339,,
11/27/20,205839,1412,13160133,264751,,
11/28/20,151408,1192,13311541,265943,,
11/29/20,136122,818,13447663,266761,,
11/30/20,167658,1270,13615321,268031,,
12/1/20,184228,2608,13799549,270639,,
12/2/20,201172,2886,14000721,273525,,
12/3/20,217738,2856,14218459,276381,,
12/4/20,231368,2637,14449827,279018,,
12/5/20,205708,2190,14655535,281208,,
12/6/20,171921,1111,14827456,282319,,
12/7/20,204523,1534,15031979,283853,,
12/8/20,219714,2821,15251693,286674,,
12/9/20,219716,3156,15471409,289830,,
12/10/20,225225,2941,15696634,292771,,
12/11/20,280513,2955,15977147,295726,,
12/12/20,207532,2255,16184679,297981,,
12/13/20,184219,1357,16368898,299338,,
12/14/20,200885,1678,16569783,301016,,
12/15/20,203153,3025,16772936,304041,,
12/16/20,244827,3611,17017763,307652,,
12/17/20,237709,3298,17255472,310950,,
12/18/20,251190,2870,17506662,313820,,
12/19/20,193905,2561,17700567,316381,,
12/20/20,179911,1429,17880478,317810,556208,
12/21/20,201518,1963,18081996,319773,57909,
12/22/20,201637,3239,18283633,323012,0,
12/23/20,227763,3412,18511396,326424,393908,
12/24/20,193511,2824,18704907,329248,0,
12/25/20,100931,1129,18805838,330377,0,
12/26/20,216861,1646,19022699,332023,936560,
12/27/20,152089,1230,19174788,333253,0,198340
12/28/20,189010,1899,19363798,335152,182558,216147
12/29/20,201030,3628,19564828,338780,0,216127
12/30/20,228949,3808,19793777,342588,667445,255223
12/31/20,231024,3462,20024801,346050,0,255223
1/1/21,147248,1920,20172049,347970,0,255223
1/2/21,291610,2373,20463659,350343,1431168,325882
1/3/21,201780,1351,20665439,351694,0,325882
1/4/21,251830,2049,20917269,353743,337504,348017
1/5/21,235016,3689,21152285,357432,273209,387047
1/6/21,255966,3964,21408251,361396,470328,358887
1/7/21,280334,4113,21688585,365509,612621,446404
1/8/21,300777,3895,21989362,369404,768813,556235
1/9/21,251919,3259,22241281,372663,0,351782
1/10/21,208295,1777,22449576,374440,0,351782
1/11/21,226316,2048,22675892,376488,2299091,632009
1/12/21,229977,4406,22905869,380894,339816,641524
1/13/21,229325,3930,23135194,384824,951324,710238
1/14/21,239522,3980,23374716,388804,870529,747082
1/15/21,239853,3749,23614569,392553,1130189,798707
1/16/21,202193,3341,23816762,395894,0,798707
1/17/21,170094,1730,23986856,397624,0,798707
1/18/21,141133,1441,24127989,399065,0,470265
1/19/21,186944,2771,24314933,401836,3428408,911493
1/20/21,185488,4380,24500421,406216,817669,892399
1/21/21,190482,4135,24690903,410351,1021117,913912
1/22/21,191565,3731,24882468,414082,1561585,975540
1/23/21,167917,3322,25050385,417404,1430031,1179830
1/24/21,129676,1815,25180061,419219,1310665,1367068
1/25/21,156576,1907,25336637,421126,885588,1493580
1/26/21,150638,4098,25487275,425224,806751,1119058
1/27/21,155770,4102,25643045,429326,1111640,1161054
1/28/21,166175,3868,25809220,433194,1541048,1235330
1/29/21,164615,3600,25973835,436794,1690979,1253815
1/30/21,133800,2641,26107635,439435,1693241,1291416
1/31/21,113795,1864,26221430,441299,1545397,1324949
2/1/21,141854,1950,26363284,443249,1099103,1355451
2/2/21,115256,3611,26478540,446860,558458,1319981
2/3/21,120183,3843,26598723,450703,1097394,1317946
2/4/21,125636,5117,26724359,455820,1325456,1287147
2/5/21,129501,3570,26853860,459390,1615502,1276364
2/6/21,104947,2662,26958807,462052,2218752,1351437
2/7/21,87281,1301,27046088,463353,2172973,1441091
2/8/21,92982,1583,27139070,464936,1206680,1456459
2/9/21,96390,3170,27235460,468106,788573,1489333
2/10/21,94975,3254,27330435,471360,1563780,1555959
2/11/21,105640,3878,27436075,475238,1620300,1598080
2/12/21,99627,5463,27535702,480701,2020288,1655907
2/13/21,84652,3372,27620354,484073,2231326,1657703
2/14/21,63780,1081,27684134,485154,2242472,1667631
2/15/21,55272,994,27739406,486148,0,1495248
2/16/21,64540,1707,27803946,487855,2336008,1716311
2/17/21,70161,2471,27874107,490326,1061463,1644551
2/18/21,71791,2625,27945898,492951,1455940,1621071
2/19/21,78012,2621,28023910,495572,1847276,1596355
2/20/21,69720,1831,28093630,497403,1704457,1521088
2/21/21,55180,1247,28148810,498650,1801134,1458040
2/22/21,59466,1454,28208276,500104,1086840,1613303
2/23/21,71913,2328,28280189,502432,854609,1401674
2/24/21,74194,3210,28354383,505642,1432864,1454731
2/25/21,77881,2465,28432264,508107,1809170,1505193
2/26/21,78318,2176,28510582,510283,2179947,1552717
2/27/21,62674,1567,28573256,511850,2352116,1645240
2/28/21,50905,1129,28624161,512979,2429823,1735053
3/1/21,56696,1425,28680857,514404,1663984,1817502
3/2/21,57644,1306,28738501,515710,1731614,1942788
3/3/21,66612,2369,28805113,518079,1908873,2010790
3/4/21,67282,1949,28872395,520028,2032374,2042676
3/5/21,65695,2483,28938090,522511,2435246,2079147
3/6/21,56585,1459,28994675,523970,2904229,2158020
3/7/21,40064,676,29034739,524646,2439427,2159392
3/8/21,94513,820,29129252,525466,1738102,2169981
3/9/21,55899,1885,29185151,527351,1602746,2151571
3/10/21,58195,1474,29243346,528825,2028692,2168688
3/11/21,62387,1524,29305733,530349,2482603,2233006
3/12/21,64166,1705,29369899,532054,2924112,2302844
3/13/21,49557,1874,29419456,533928,4575496,2541597
3/14/21,37989,569,29457445,534497,1356773,2386932
3/15/21,57164,749,29514609,535246,2021586,2427430
3/16/21,54531,1245,29569140,536491,1655996,2435037
3/17/21,58931,1177,29628071,537668,2299771,2473762
3/18/21,60470,1558,29688541,539226,2692381,2503731
3/19/21,60623,1514,29749164,540740,2583810,2455116
3/20/21,54425,772,29803589,541512,3127679,2248285
3/21/21,34193,448,29837782,541960,3039915,2488734
3/22/21,54716,648,29892498,542608,2028324,2489697
3/23/21,56746,893,29949244,543501,1707293,2497025
3/24/21,79903,1590,30029147,545091,2256824,2490889
3/25/21,69116,1270,30098263,546361,2831442,2510755
3/26/21,74499,1260,30172762,547621,3379393,2624410
3/27/21,60700,780,30233462,548401,3496047,2677034
3/28/21,44515,490,30277977,548891,3281956,2711611
3/29/21,70739,685,30348716,549576,2350144,2757586
3/30/21,62234,947,30410950,550523,1789510,2769331
3/31/21,67936,1135,30478886,551658,2670947,2828491
4/1/21,77193,957,30556079,552615,3358112,2903730
4/2/21,68589,956,30624668,553571,3975059,2988825
4/3/21,64136,753,30688804,554324,4081959,3072527
4/4/21,36823,272,30725627,554596,3365324,3084436
4/5/21,76594,530,30802221,555126,2134049,3053566
4/6/21,61972,909,30864193,556035,1404280,2998533
4/7/21,73090,2571,30937283,558606,2884580,3029052
4/8/21,80458,1002,31017741,559608,3403061,3035473
4/9/21,81582,946,31099323,560554,3958065,3033045
4/10/21,64758,704,31164081,561258,4629928,3111327
4/11/21,47977,301,31212058,561559,3579422,3141912
4/12/21,71932,465,31283990,562024,2644914,3214093
4/13/21,77321,983,31361311,563007,2590736,338438
4/14/21,75750,935,31437061,563942,2509055,3330740
4/15/21,73694,917,31510755,564859,3525204,3348189
4/16/21,78354,935,31589109,565794,3965883,3349306
4/17/21,53874,677,31642983,566471,3588990,3200601
4/18/21,41399,358,31684382,566829,3534901,3194240
4/19/21,70260,485,31754642,567314,2174495,3127038
4/20/21,61024,832,31815666,568146,1806929,3015065
4/21/21,62495,840,31878161,568986,2563671,3022868
4/22/21,66241,911,31944402,569897,2995734,2947229
4/23/21,63784,873,32008186,570770,3374587,2862758
4/24/21,50468,725,32058654,571495,3318230,2824078
4/25/21,33591,282,32092245,571777,3020948,2750656
4/26/21,47335,479,32139580,572256,2107046,2741021
4/27/21,51877,713,32191457,572969,1639215,2717062
4/28/21,54818,934,32246275,573903,2231745,2669644
4/29/21,57582,874,32303857,574777,2721079,2630407
4/30/21,58517,860,32362374,575637,2799184,2548207
5/1/21,44759,715,32407133,576352,3303794,2546144
5/2/21,29632,312,32436765,576664,2127998,2418580
5/3/21,49944,459,32486709,577123,1188734,2287393
5/4/21,40955,907,32527664,578030,988846,2194483
5/5/21,44719,776,32572383,578806,1797771,2132487
5/6/21,47694,832,32620077,579638,2406932,2087608
5/7/21,47493,812,32667570,580450,2805581,2088522
5/8/21,33666,604,32701236,581054,2567872,1983391
5/9/21,22328,246,32723564,581300,2369784,2017931
5/10/21,36557,370,32760121,581670,1882392,2117025
5/11/21,34041,693,32794162,582363,1533180,2194787
5/12/21,35483,848,32829645,583211,1548283,2159146
5/13/21,38439,780,32868084,583991,1915642,2088962
5/14/21,40981,732,32909065,584723,1842180,1951333
5/15/21,29050,559,32938115,585282,2393676,1926448
5/16/21,16710,292,32954825,585574,2093069,1886917
5/17/21,29207,384,32984032,585958,1486490,1830360
5/18/21,27863,867,33011895,586825,1123306,1771807
5/19/21,28794,675,33040689,587500,1754966,1801333
5/20/21,29618,654,33070307,588154,2107077,1828681
5/21/21,29011,696,33099318,588850,2198101,1879526
5/22/21,18316,479,33117634,589329,2345872,1872697
5/23/21,14150,189,33131784,589518,1779363,1827882
5/24/21,25628,417,33157412,589935,1170314,1782714
5/25/21,22838,700,33180250,590635,897972,1750524
5/26/21,23386,966,33203636,591601,1423432,1703162
5/27/21,27747,1341,33231383,592942,1512303,1618194
5/28/21,22024,759,33253407,593701,1375171,1500632
5/29/21,11560,339,33264967,594040,1605272,1394832
5/30/21,7442,131,33272409,594171,1223800,1315466
5/31/21,5503,150,33277912,594321,0,1148279
6/1/21,22714,520,33300626,594841,1475390,1230767
6/2/21,16858,594,33317484,595435,508652,1100084
6/3/21,19469,616,33336953,596051,808036,999474
6/4/21,-24000,139,33312953,596190,1399594,1002963
6/5/21,10448,375,33323401,596565,1148208,937669
6/6/21,6153,252,33329554,596817,1369848,958533
6/7/21,19451,336,33349005,597153,1213339,1131867
6/8/21,14184,375,33363189,597528,1071750,1074204
6/9/21,20663,572,33383852,598100,829809,1120083
6/10/21,15796,460,33399648,598560,934142,1138099
6/11/21,16825,517,33416473,599077,822177,1055610
6/12/21,8278,170,33424751,599247,1602933,1120571
6/13/21,6787,95,33431538,599342,1209817,1097710
6/14/21,15119,210,33446657,599552,1323282,1113416
6/15/21,11872,452,33458529,600004,1240847,1137572
6/16/21,14406,424,33472935,600428,1028496,1165956
6/17/21,12187,288,33485122,600716,2054216,1325967
6/18/21,12715,469,33497837,601185,1079390,1362712
6/19/21,7579,169,33505416,601354,1069021,1286438
6/20/21,4063,90,33509479,601444,848611,1234838
6/21/21,15844,288,33525323,601732,610033,1132945
6/22/21,12762,432,33538085,602164,647403,1048167
6/23/21,14027,398,33552112,602562,648209,993840
6/24/21,14691,355,33566803,602917,815152,816831
6/25/21,14963,458,33581766,603375,512174,735800
6/26/21,6789,126,33588555,603501,923724,715044
6/27/21,4087,96,33592642,603597,1204225,765846
6/28/21,15548,161,33608190,603758,1087043,833990
6/29/21,15729,379,33623919,604137,738476,847000
6/30/21,15973,323,33639892,604460,1368679,949925
7/1/21,16505,247,33656397,604707,1630778,1066443
7/2/21,20669,266,33677066,604973,657166,1087156
7/3/21,4690,86,33681756,605059,1161081,1121064
7/4/21,3491,37,33685247,605096,633702,1039561
7/5/21,5207,41,33690454,605137,0,884269
7/6/21,23688,317,33714142,605454,610094,865929
7/7/21,32417,322,33746559,605776,437117,732848
7/8/21,23103,366,33769662,606142,694333,599070
7/9/21,35172,407,33804834,606549,620612,593848
7/10/21,8891,88,33813725,606637,598995,513550
7/11/21,6283,30,33820008,606667,586244,506771
7/12/21,32794,273,33852802,606940,449122,570931
7/13/21,41713,432,33894515,607372,341466,532556
7/14/21,37841,393,33932356,607765,545543,548045
7/15/21,35605,338,33967961,608103,567174,529879
7/16/21,51890,357,34019851,608460,549205,519678
7/17/21,13000,83,34032851,608543,635290,524863
7/18/21,9527,37,34042378,608580,500910,512673
7/19/21,55828,231,34098206,608811,507076,520932
7/20/21,62484,300,34160690,609111,243940,507020
7/21/21,61939,397,34222629,609508,611493,516441
7/22/21,63711,362,34286340,609870,660898,529830
7/23/21,82505,443,34368845,610313,600157,537109
7/24/21,22472,101,34391317,610414,,